# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
17640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17760.0,0,0.1025,0.1288,0.1309,12.0043,4.8337,0.1097
17800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
17920.0,0,0.0704,0.0846,0.0851,12.0078,4.8358,0.0730
17960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
18000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
18080.0,0,0.0613,0.0678,0.0622,12.0095,4.8349,0.0624
18120.0,0,0.0628,0.0708,0.0683,12.0095,4.8334,0.0700
18160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
18200.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
18280.0,0,0.0765,0.0937,0.0867,12.0069,4.8322,0.0761
18320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
